epoch,lr,train_loss,teacher_forcing_p,val_loss
1,0.0005,0.0175620224326849,0.0,0.01406506597995758
2,0.0004999803005288522,0.013126088306307793,0.0,0.01216010395437479
3,0.0004999212052261833,0.011974845081567764,0.0,0.011280719935894013
4,0.000499822723423827,0.01133493147790432,0.0,0.01051941942423582
5,0.0004996848706732014,0.011183246970176697,0.0,0.010704963468015194
6,0.0004995076687428538,0.010754862800240517,0.0,0.009903741627931595
7,0.0004992911456150232,0.010478958487510681,0.0,0.009688860364258289
8,0.0004990353354812216,0.010345179587602615,0.0,0.009516487456858158
9,0.0004987402787368344,0.010276874527335167,0.0,0.009307348541915417
10,0.0004984060219747421,0.010089230723679066,0.0,0.00918262954801321
11,0.0004980326179779622,0.010064182803034782,0.0,0.009136087633669377
12,0.0004976201257113145,0.00983154121786356,0.0,0.008935296349227429
13,0.0004971686103121095,0.009830672293901443,0.0,0.008808457851409912
14,0.000496678143079863,0.009731804952025414,0.0,0.008812366239726543
15,0.0004961488014650368,0.009632586501538754,0.0,0.00897858440876007
16,0.0004955806690568079,0.00953089538961649,0.0,0.008623666688799858
17,0.0004949738355698697,0.009590239264070988,0.0,0.009680707566440105
18,0.0004943283968302644,0.009522505104541779,0.0,0.008498256094753742
19,0.0004936444547602512,0.009452647529542446,0.0,0.008458265289664268
20,0.0004929221173622113,0.009358036331832409,0.0,0.008455516770482063
21,0.0004921614987015937,0.009371385909616947,0.0,0.008351059630513191
22,0.000491362718888902,0.009355004876852036,0.0,0.008368318527936935
23,0.0004905259040607286,0.009250783361494541,0.0,0.00828676726669073
24,0.0004896511863598355,0.009250441566109657,0.0,0.008303461968898774
25,0.0004887387039142876,0.009231616742908955,0.0,0.008341946080327034
26,0.00048778860081564096,0.009172556921839714,0.0,0.008273919112980366
27,0.00048680102709618877,0.009177223779261112,0.0,0.008278880268335342
28,0.0004857761387052698,0.009133424609899521,0.0,0.008162404596805572
29,0.0004847140974846417,0.009112569503486156,0.0,0.00817336905747652
30,0.00048361507114292484,0.009142921306192875,0.0,0.008163618668913842
31,0.00048247923322911887,0.009064319543540478,0.0,0.00810304842889309
32,0.0004813067631051974,0.009015822783112526,0.0033333333333333335,0.008154709823429585
33,0.00048009784591778484,0.009113161824643612,0.006666666666666667,0.0082518819719553
34,0.00047885267256891906,0.00937727838754654,0.010000000000000002,0.008095977082848548
35,0.0004775714396859066,0.008996021002531052,0.013333333333333334,0.008065756037831306
36,0.00047625434959027205,0.009022592566907406,0.016666666666666666,0.008083762228488922
37,0.00047490161026580974,0.009009579196572304,0.020000000000000004,0.008238909766077995
38,0.00047351343532574047,0.008993400260806084,0.023333333333333334,0.007983133010566235
39,0.00047209004397897957,0.009156213141977787,0.02666666666666667,0.008028172887861729
40,0.00047063166099552107,0.00901253242045641,0.03,0.008008947782218456
41,0.00046913851667094417,0.009032895788550377,0.03333333333333333,0.007979204878211021
42,0.0004676108467900469,0.008923747576773167,0.03666666666666667,0.008639274351298808
43,0.0004660488925896126,0.008920072577893734,0.04000000000000001,0.00791825857013464
44,0.0004644529007203165,0.008864238858222961,0.043333333333333335,0.007965401466935872
45,0.0004628231232077759,0.008843732997775078,0.04666666666666667,0.007969396747648716
46,0.00046115981741275304,0.008870602585375309,0.05,0.007895986922085286
47,0.0004594632459905147,0.008819308131933212,0.05333333333333334,0.007931337226182222
48,0.0004577336768493556,0.00895352941006422,0.05666666666666667,0.008828656375408172
49,0.0004559713831082929,0.008904351852834225,0.06,0.00785745531320572
50,0.0004541766430539377,0.008824387565255165,0.06333333333333334,0.007875982206314802
51,0.0004523497400965497,0.008799433708190918,0.06666666666666667,0.00782762998715043
52,0.000450490962725284,0.008814987726509571,0.06999999999999999,0.007849886175245046
53,0.0004486006044626351,0.008827608078718185,0.07333333333333333,0.00785146588459611
54,0.00044667896381808664,0.008765934966504574,0.07666666666666667,0.007804383896291256
55,0.00044472634424097264,0.00874076597392559,0.08000000000000002,0.007859659753739834
56,0.00044274305407255963,0.008741416968405247,0.08333333333333334,0.00781585806980729
57,0.0004407294064973565,0.008781933225691319,0.08666666666666667,0.007807534653693438
58,0.0004386857194936582,0.008798171766102314,0.09000000000000001,0.007889540307223797
59,0.00043661231578333374,0.008792995475232601,0.09333333333333334,0.007778652478009462
60,0.0004345095227808647,0.00872642733156681,0.09666666666666668,0.007799880020320416
61,0.00043237767254164245,0.09761670976877213,0.1,0.008700923435389996
62,0.000430217101709533,0.09555672109127045,0.10333333333333335,0.00887081641703844
63,0.00042802815146371695,0.09432557225227356,0.10666666666666667,0.008895363844931125
64,0.0004258111674648132,0.09341396391391754,0.11000000000000001,0.008910857141017914
65,0.0004235664998002951,0.09330487996339798,0.11333333333333334,0.009181196987628936
66,0.0004212945029292081,0.09324219822883606,0.11666666666666668,0.00895063765347004
67,0.0004189955356261958,0.09203947335481644,0.12,0.009142238274216652
68,0.00041666996092484603,0.09173762053251266,0.12333333333333335,0.008974823728203773
69,0.00041431814606036286,0.09197981655597687,0.12666666666666668,0.008989722281694413
70,0.00041194046241157666,0.09148485958576202,0.13,0.009401323646306992
71,0.00040953728544229834,0.09129969775676727,0.13333333333333333,0.009009123966097831
72,0.00040710899464202997,0.09121469408273697,0.1366666666666667,0.008922722004354
73,0.0004046559734660386,0.09114369004964828,0.13999999999999999,0.008965007960796356
74,0.00040217860927480427,0.09118068218231201,0.14333333333333334,0.008977299928665161
75,0.0003996772932728512,0.09027823805809021,0.14666666666666667,0.008984483778476715
76,0.0003971524204469723,0.09091585874557495,0.15000000000000002,0.008964158408343793
77,0.00039460438950385593,0.09045049548149109,0.15333333333333335,0.00893372967839241
78,0.00039203360280712596,0.09006278216838837,0.15666666666666668,0.008949257060885429
79,0.0003894404663138031,0.0900418683886528,0.16000000000000003,0.009015900269150733
80,0.00038682538951020034,0.09004854410886765,0.16333333333333333,0.009060022979974746
81,0.00038418878534725987,0.08906657993793488,0.16666666666666669,0.009040424600243568
82,0.00038153107017534357,0.08954208344221115,0.17,0.009001566842198373
83,0.00037885266367848613,0.08920767158269882,0.17333333333333334,0.00904101599007845
84,0.0003761539888081225,0.08920267224311829,0.17666666666666667,0.008938954584300518
85,0.000373435471716299,0.08960327506065369,0.18000000000000002,0.008946582674980164
86,0.0003706975416883782,0.08884910494089127,0.18333333333333335,0.009114133194088936
87,0.00036794063107525074,0.08900045603513718,0.18666666666666668,0.008992545865476131
88,0.00036516517522506154,0.08904558420181274,0.19,0.009057607501745224
89,0.0003623716124144634,0.08864551782608032,0.19333333333333336,0.008977267891168594
90,0.000359560383779408,0.08797807991504669,0.19666666666666666,0.008990700729191304
91,0.00035673193324548593,0.08887547254562378,0.2,0.009052853845059872
92,0.0003538867074578247,0.0884089544415474,0.20333333333333334,0.009037923999130726
93,0.0003510251557105591,0.08848528563976288,0.2066666666666667,0.009109033644199372
94,0.0003481477298758823,0.0884111300110817,0.21000000000000002,0.008966918289661407
95,0.0003452548843326897,0.08822111040353775,0.21333333333333335,0.009053579159080982
96,0.00034234707589482743,0.08839040249586105,0.21666666666666667,0.008988343365490436
97,0.0003394247637389563,0.0888911783695221,0.22000000000000003,0.008999833092093467
98,0.0003364884093320423,0.08773644268512726,0.22333333333333336,0.008987405896186828
99,0.0003335384763584854,0.08770828694105148,0.22666666666666668,0.009108594059944153
100,0.000330575430646899,0.08817631751298904,0.22999999999999998,0.00897770058363676
101,0.00032759974009654967,0.08826349675655365,0.23333333333333336,0.008969168365001678
102,0.00032461187460347047,0.08790471404790878,0.2366666666666667,0.009055011719465256
103,0.0003216123059862593,0.08792531490325928,0.24,0.00899821650236845
104,0.00031860150791157294,0.08797864615917206,0.24333333333333332,0.009054718539118767
105,0.0003155799558193295,0.08685272932052612,0.2466666666666667,0.008971682377159595
106,0.0003125481268476315,0.08717042952775955,0.25,0.008975725993514061
107,0.0003095064997574196,0.08741150051355362,0.25333333333333335,0.00901001300662756
108,0.0003064555548568709,0.08682681620121002,0.2566666666666667,0.008963786251842975
109,0.00030339577392555296,0.0872826874256134,0.26,0.009017683938145638
110,0.00030032764013834486,0.08733312785625458,0.26333333333333336,0.008948290534317494
111,0.0002972516379891386,0.08727766573429108,0.26666666666666666,0.008934218436479568
112,0.0002941682532143317,0.08756998926401138,0.27,0.008997770585119724
113,0.0002910779727161238,0.086744025349617,0.2733333333333334,0.008924925513565541
114,0.0002879812844856292,0.08720486611127853,0.27666666666666667,0.008964375592768192
115,0.00028487867752581753,0.08703117072582245,0.27999999999999997,0.008935663849115372
116,0.0002817706417742942,0.08674244582653046,0.2833333333333334,0.008983013406395911
117,0.00027865766802593397,0.08673872798681259,0.2866666666666667,0.008934302628040314
118,0.0002755402478553784,0.08658435940742493,0.29,0.008982910215854645
119,0.00027241887353941075,0.0863492414355278,0.29333333333333333,0.008927055075764656
120,0.00026929403797921954,0.08632414042949677,0.2966666666666667,0.008976893126964569
121,0.000266166234622564,0.0866326242685318,0.30000000000000004,0.008999361284077167
122,0.00026303595738585284,0.08647699654102325,0.30333333333333334,0.008996002189815045
123,0.000259903700576149,0.08654529601335526,0.3066666666666667,0.00894920714199543
124,0.000256769958813113,0.08654093742370605,0.31000000000000005,0.00896546822041273
125,0.00025363522695089676,0.0863923579454422,0.31333333333333335,0.008969752304255962
126,0.0002505000000000003,0.08638143539428711,0.31666666666666665,0.008954500220716
127,0.00024736477304910376,0.08612652868032455,0.32000000000000006,0.008910255692899226
128,0.00024423004118688757,0.08664639294147491,0.32333333333333336,0.008910755440592767
129,0.00024109629942385157,0.08607405424118042,0.32666666666666666,0.008920845948159695
130,0.00023796404261414777,0.08590423315763474,0.33,0.008974893018603325
131,0.00023483376537743663,0.08581873774528503,0.33333333333333337,0.008976067043840885
132,0.000231705962020781,0.08663427829742432,0.33666666666666667,0.008954660966992378
133,0.00022858112646058983,0.08594634383916855,0.34,0.008972917310893535
134,0.00022545975214462215,0.0862332433462143,0.3433333333333333,0.008967366255819797
135,0.00022234233197406656,0.0858626589179039,0.3466666666666667,0.008937780372798442
136,0.00021922935822570635,0.08610208332538605,0.35000000000000003,0.008965075202286243
137,0.00021612132247418304,0.0862623006105423,0.35333333333333333,0.00891222171485424
138,0.00021301871551437132,0.08531177788972855,0.3566666666666667,0.008961457200348378
139,0.00020992202728387674,0.08542662858963013,0.36000000000000004,0.008911797031760215
140,0.00020683174678566885,0.08590076863765717,0.36333333333333334,0.008953356556594372
141,0.0002037483620108619,0.08550276607275009,0.3666666666666667,0.008856379613280296
142,0.00020067235986165566,0.08608762174844742,0.37000000000000005,0.008957419730722904
143,0.00019760422607444756,0.08619600534439087,0.37333333333333335,0.00901393499225378
144,0.00019454444514312955,0.08547689020633698,0.3766666666666667,0.00889118704944849
145,0.00019149350024258088,0.08612990379333496,0.38,0.008933969400823116
146,0.00018845187315236895,0.08580734580755234,0.38333333333333336,0.008943449519574643
147,0.0001854200441806709,0.08560795336961746,0.3866666666666667,0.008881752751767636
148,0.0001823984920884275,0.08592449873685837,0.39,0.008896764740347863
149,0.00017938769401374112,0.08480990678071976,0.3933333333333333,0.008906056359410285
150,0.00017638812539652994,0.08532020449638367,0.3966666666666667,0.008877586014568806
151,0.0001734002599034508,0.08548711240291595,0.4,0.008879942633211613
152,0.00017042456935310142,0.08562217652797699,0.4,0.00892270840704441
153,0.000167461523641515,0.08548285067081451,0.4,0.00888407789170742
154,0.00016451159066795815,0.08547070622444153,0.4,0.00888605359941721
155,0.00016157523626104413,0.085184246301651,0.4,0.0089156623929739
156,0.000158652924105173,0.08570941537618637,0.4,0.00891168899834156
157,0.0001557451156673108,0.08533865958452225,0.4,0.008883078955113888
158,0.0001528522701241182,0.08528833091259003,0.4,0.008937647566199303
159,0.0001499748442894413,0.08489209413528442,0.4,0.008878038078546525
